data,method,target_coverage,CATE_Male,CATE_Female,CATE_ci_low_Male,CATE_ci_low_Female,CATE_ci_high_Male,CATE_ci_high_Female,pv_rob_Male,pv_rob_Female,acc_hum,count_female,count_males,acc_system
xray-airspace,RS,0.0,0.06249999999999999,0.012345679012345685,0.018644708382785764,-0.03436327039609668,0.10635529161721421,0.05905462842078805,0.005218518799540845,0.6044306289768675,0.8710433763188745,405,448,0.8710433763188745
xray-airspace,RS,0.1,0.07196029776674936,0.04375,0.023523928610021082,-0.010898178622701218,0.12039666692347764,0.09839817862270121,0.003592915573813517,0.1166247794284933,0.8644536652835408,320,403,0.8827667057444314
xray-airspace,RS,0.2,0.09537572254335258,0.06093189964157705,0.04280490795056495,0.0012423920218385467,0.1479465371361402,0.12062140726131557,0.00037678490016848176,0.04541835111721354,0.864,279,346,0.8909730363423212
xray-airspace,RS,0.3,0.10032362459546926,0.0785123966942149,0.04496676779588497,0.018061718630110475,0.15568048139505355,0.13896307475831934,0.0003822325659996758,0.010909929448686443,0.8711433756805808,242,309,0.8909730363423212
xray-airspace,RS,0.4,0.13703703703703704,0.10576923076923078,0.0807231382855923,0.04481231122277126,0.19335093578848178,0.1667261503156903,1.8470788596571793e-06,0.0006718255150745929,0.9037656903765691,208,270,0.9015240328253223
xray-airspace,RS,0.5,0.15000000000000002,0.1265060240963856,0.09071751409380643,0.05514178135612732,0.2092824859061936,0.19787026683664385,7.077857394369572e-07,0.0005120151867495626,0.917098445595855,166,220,0.895662368112544
xray-airspace,RS,0.6,0.15517241379310345,0.1395348837209302,0.0866043553766835,0.05961203455126847,0.22374047220952342,0.21945773289059195,9.186679690481303e-06,0.0006219849043441041,0.9207920792079208,129,174,0.8851113716295428
xray-airspace,RS,0.7,0.17968749999999994,0.10638297872340428,0.09995885720008073,0.015238270584338506,0.25941614279991915,0.19752768686247008,9.996643600475457e-06,0.02215815764224342,0.9144144144144144,94,128,0.8710433763188745
xray-airspace,RS,0.8,0.261904761904762,0.14492753623188406,0.1672606525111218,0.043631921896080936,0.3565488712984022,0.24622315056768718,5.836869897592866e-08,0.005044223872614073,0.9411764705882353,69,84,0.8698710433763188
xray-airspace,RS,0.9,0.2608695652173913,0.07894736842105264,0.13243730017330718,-0.007828718559944312,0.3893018302614754,0.16572345540204958,6.86122244406921e-05,0.07456335327984577,0.9404761904761905,38,46,0.8499413833528722
xray-airspace,CC,0.0,0.05357142857142857,0.002469135802469137,0.010496444363594044,-0.04323881826162691,0.09664641277926309,0.04817708986656519,0.014786558699288823,0.9156800088988682,0.8710433763188745,405,448,0.8710433763188745
xray-airspace,CC,0.1,0.06265664160401005,0.025641025641025647,0.014601761832404907,-0.02912674854158525,0.11071152137561519,0.08040879982363655,0.010603209161272198,0.35882279841553655,0.8607594936708861,312,399,0.88042203985932
xray-airspace,CC,0.2,0.07954545454545453,0.04240282685512369,0.02729738706544839,-0.015421616771768565,0.13179352202546069,0.10022727048201595,0.002845424970836197,0.150647796277844,0.8598425196850393,283,352,0.8886283704572099
xray-airspace,CC,0.3,0.09427609427609428,0.06201550387596899,0.03391527549466784,0.0006541568473761028,0.1546369130575207,0.12337685090456188,0.002204370146278091,0.04760712910568128,0.8522522522522522,258,297,0.8933177022274326
xray-airspace,CC,0.4,0.11023622047244097,0.07264957264957264,0.04331160819198526,0.007764123294107236,0.17716083275289668,0.13753502200503803,0.001244873514847923,0.028200117816289613,0.8483606557377049,234,254,0.8944900351699883
xray-airspace,CC,0.5,0.1339712918660287,0.07281553398058252,0.05862127555379597,0.0027901394383402223,0.20932130817826144,0.14284092852282482,0.0004925252872883142,0.04154412056491864,0.8433734939759037,206,209,0.8921453692848769
xray-airspace,CC,0.6,0.1506024096385542,0.09937888198757758,0.06258286019311922,0.019856710804532912,0.2386219590839892,0.17890105317062224,0.0007979071454791306,0.014310731230868552,0.8409785932721713,161,166,0.8898007033997656
xray-airspace,CC,0.7,0.23357664233576642,0.1323529411764706,0.13993928281839166,0.04602756614273128,0.3272140018531412,0.2186783162102099,1.0130137074389275e-06,0.0026558847633836474,0.8571428571428571,136,137,0.9003516998827668
xray-airspace,CC,0.8,0.33684210526315794,0.19767441860465124,0.22092139635578836,0.08624961547742131,0.45276281417052755,0.30909922173188115,1.2318518683097924e-08,0.0005068762292003332,0.8729281767955801,86,95,0.8991793669402111
xray-airspace,CC,0.9,0.4363636363636364,0.26000000000000006,0.27736908754536316,0.09386655306369912,0.5953581851819096,0.426133446936301,7.483445609508544e-08,0.002159605695757106,0.8571428571428571,50,55,0.8851113716295428
xray-airspace,DT,0.0,0.19866071428571425,0.1777777777777778,0.14770891587226045,0.11859610792622347,0.24961251269916804,0.23695944762933216,2.140623420144732e-14,3.9184238873347144e-09,0.8710433763188745,405,448,0.8710433763188745
xray-airspace,DT,0.1,0.20833333333333337,0.18372703412073488,0.15624114019466487,0.12340792615289517,0.2604255264720019,0.24404614208857459,4.558784001561622e-15,2.374152782383962e-09,0.8821292775665399,381,408,0.8640093786635404
xray-airspace,DT,0.2,0.21253405994550406,0.18518518518518512,0.1597482702058523,0.12317916672005748,0.2653198496851558,0.24719120365031277,2.9857387070050128e-15,4.811444977858305e-09,0.8913649025069638,351,367,0.8499413833528722
xray-airspace,DT,0.3,0.2269938650306748,0.19032258064516133,0.17141105852341237,0.12644002554865885,0.28257667153793725,0.2542051357416638,1.201772793661652e-15,5.244030816239053e-09,0.89937106918239,310,326,0.8382180539273154
xray-airspace,DT,0.4,0.24460431654676262,0.2324723247232472,0.18577795773367534,0.16592589244774245,0.3034306753598499,0.2990187569987519,3.649064327848723e-16,7.546254464654426e-12,0.912568306010929,271,278,0.835873388042204
xray-airspace,DT,0.5,0.24892703862660934,0.23580786026200873,0.1860887884802566,0.16238910208300752,0.31176528877296206,0.30922661844100996,8.21694987476711e-15,3.07296480160285e-10,0.9134199134199135,229,233,0.813599062133646
xray-airspace,DT,0.6,0.2681564245810056,0.23899371069182387,0.19772683419844,0.15430792332883003,0.33858601496357116,0.3236794980548177,8.493156529783672e-14,3.1793956687402547e-08,0.9201183431952663,159,179,0.7831184056271981
xray-airspace,DT,0.7,0.17557251908396948,0.21428571428571436,0.10675154073030661,0.12009926281010228,0.24439349743763233,0.3084721657613264,5.72831427940129e-07,8.228219470460004e-06,0.9534883720930233,84,131,0.7303634232121923
xray-airspace,DT,0.8,0.04761904761904763,0.0,0.0017061102662849423,-0.06986087563382314,0.09353198497181031,0.06986087563382314,0.042073175052476396,1.0,0.9758064516129032,40,84,0.6869871043376319
xray-airspace,DT,0.9,0.04878048780487805,0.0,-0.018263296312327162,0.0,0.11582427192208326,0.0,0.153853001936834,,0.9836065573770492,20,41,0.6846424384525205
xray-airspace,LCE,0.0,0.06249999999999999,-6.938893903907228e-18,0.018644708382785764,-0.044931615002756144,0.10635529161721421,0.04493161500275613,0.005218518799540845,0.9999999999999998,0.8710433763188745,405,448,0.8710433763188745
xray-airspace,LCE,0.1,0.07035175879396985,0.03076923076923077,0.02152629577143287,-0.021072241255667964,0.11917722181650683,0.0826107027941295,0.004741685139880854,0.2447125019456482,0.8644536652835408,325,398,0.8827667057444314
xray-airspace,LCE,0.2,0.09428571428571428,0.03484320557491287,0.04230639475149443,-0.021415272734350163,0.1462650338199341,0.0911016838841759,0.00037769921095940674,0.2247909282245567,0.8634222919937206,287,350,0.8886283704572099
xray-airspace,LCE,0.3,0.10897435897435896,0.05327868852459015,0.05472989409696543,-0.009213537972890366,0.1632188238517525,0.11577091502207065,8.234607221549823e-05,0.09472230940620213,0.8723021582733813,244,312,0.8933177022274326
xray-airspace,LCE,0.4,0.11594202898550723,0.059405940594059396,0.05628030414138274,-0.00885526475947581,0.17560375382963173,0.1276671459475946,0.00013961802049079877,0.08806295071778412,0.8682008368200836,202,276,0.8898007033997656
xray-airspace,LCE,0.5,0.12499999999999997,0.07741935483870964,0.05757138953356557,-0.005782656576961559,0.1924286104664344,0.16062136625438084,0.0002797046932631575,0.06819082338222526,0.8552971576227391,155,232,0.8862837045720985
xray-airspace,LCE,0.6,0.13989637305699482,0.09352517985611508,0.061508782659144196,0.006589046295904774,0.21828396345484544,0.18046131341632538,0.00046893916172755765,0.034986623188868776,0.8493975903614458,139,193,0.8851113716295428
xray-airspace,LCE,0.7,0.1875,0.12711864406779663,0.08903313950185213,0.028344865712337353,0.2859668604981479,0.2258924224232559,0.0001898512096407942,0.011655377832312947,0.8320610687022901,118,144,0.8874560375146542
xray-airspace,LCE,0.8,0.22330097087378642,0.17977528089887637,0.10252638962906409,0.06448159389565312,0.34407555211850877,0.29506896790209963,0.00029031604203011034,0.002242102560039252,0.8125,89,103,0.8839390386869871
xray-airspace,LCE,0.9,0.4074074074074074,0.21739130434782605,0.2560727746778615,0.05735192315293838,0.5587420401369533,0.37743068554271375,1.3173785575884616e-07,0.00775996232577811,0.84,46,54,0.8757327080890973
xray-airspace,SP,0.0,0.058035714285714274,-0.014814814814814822,0.015458700388822078,-0.05812663027197258,0.10061272818260647,0.028497000642342937,0.007549501627283467,0.5025989737404839,0.8710433763188745,405,448,0.8710433763188745
xray-airspace,SP,0.1,0.06565656565656566,-0.0028818443804034585,0.017530786718738624,-0.051862681904625924,0.11378234459439271,0.046098993143819,0.007497023485405374,0.9081940591287931,0.8586810228802153,347,396,0.876905041031653
xray-airspace,SP,0.2,0.07102272727272727,0.0,0.017760290262029445,-0.0534956856325262,0.12428516428342509,0.0534956856325262,0.0089617087912968,1.0,0.849772382397572,307,352,0.876905041031653
xray-airspace,SP,0.3,0.07766990291262135,0.0036630036630036673,0.018019472186273748,-0.05341786692870314,0.13732033363896895,0.06074387425471048,0.010709459815912465,0.8999099102751231,0.8402061855670103,273,309,0.876905041031653
xray-airspace,SP,0.4,0.11599999999999998,0.017021276595744702,0.04767656968416517,-0.046590346151708664,0.18432343031583479,0.08063289934319808,0.0008758477267221771,0.5999658768662923,0.8350515463917526,235,250,0.8862837045720985
xray-airspace,SP,0.5,0.12980769230769232,0.03608247422680412,0.049933550266717974,-0.03463149603005783,0.20968183434866666,0.10679644448366607,0.001446334435162388,0.3172668494124963,0.8233830845771144,194,208,0.8874560375146542
xray-airspace,SP,0.6,0.18452380952380953,0.07096774193548383,0.09595350124482954,-0.00947422619377869,0.2730941178027895,0.15140971006474635,4.439874171545715e-05,0.08378672542349044,0.8297213622291022,155,168,0.8968347010550997
xray-airspace,SP,0.7,0.22656249999999994,0.07964601769911504,0.12640519993798227,-0.012982215836698882,0.3267198000620176,0.17227425123492895,9.268565552386967e-06,0.09193702591185889,0.8340248962655602,113,128,0.8921453692848769
xray-airspace,SP,0.8,0.2446808510638298,0.18421052631578955,0.12720096498215877,0.06414323236848085,0.36216073714550084,0.30427782026309824,4.462892820539327e-05,0.002638134209924998,0.8235294117647058,76,94,0.8909730363423212
xray-airspace,SP,0.9,0.3181818181818182,0.17948717948717957,0.15222742909934456,-0.009107793357184313,0.4841362072642918,0.36808215233154346,0.0001714076048400887,0.06213772754649963,0.7831325301204819,39,44,0.8722157092614302
xray-airspace,OVA,0.0,0.058035714285714274,0.004938271604938274,0.015458700388822084,-0.039990763271196966,0.10061272818260647,0.049867306481073514,0.007549501627283454,0.8294360297551611,0.8710433763188745,405,448,0.8710433763188745
xray-airspace,OVA,0.1,0.07017543859649124,0.03525641025641025,0.02298395906653821,-0.01760575986412132,0.11736691812644426,0.08811858037694181,0.0035621611933998993,0.19114565915016335,0.8649789029535865,312,399,0.8839390386869871
xray-airspace,OVA,0.2,0.08620689655172413,0.053763440860215075,0.03530762072693852,-0.0026111419235862673,0.13710617237650974,0.11013802364401643,0.0009016442463215508,0.0615973684581667,0.8644338118022329,279,348,0.8909730363423212
xray-airspace,OVA,0.3,0.09032258064516129,0.07024793388429751,0.03752958990061274,0.014148155361211716,0.14311557138970982,0.1263477124073833,0.0007986356204276674,0.01411750208139773,0.875,242,310,0.8909730363423212
xray-airspace,OVA,0.4,0.13043478260869565,0.07834101382488481,0.07656868550490961,0.01991941270924697,0.18430087971248169,0.13676261494052266,2.074981362464568e-06,0.008582976641883873,0.8864097363083164,217,276,0.9003516998827668
xray-airspace,OVA,0.5,0.13004484304932737,0.09604519774011303,0.07346893856590939,0.03002697665844395,0.18662074753274535,0.1620634188217821,6.632456924272177e-06,0.004352557236138922,0.9075,177,223,0.8921453692848769
xray-airspace,OVA,0.6,0.1703296703296703,0.1428571428571429,0.10948467026332977,0.06706233616394057,0.23117467039601086,0.21865194955034523,4.0944479953662844e-08,0.00022065252674962642,0.9301587301587302,133,182,0.8968347010550997
xray-airspace,OVA,0.7,0.18620689655172418,0.15306122448979592,0.11703481242053435,0.06168259997525427,0.255378980682914,0.24443984900433757,1.319623273142152e-07,0.0010271479351403397,0.9218106995884774,98,145,0.8874560375146542
xray-airspace,OVA,0.8,0.175,0.1875,0.0911532622592039,0.09120416602608114,0.2588467377407961,0.28379583397391883,4.30032296532995e-05,0.00013547088439930726,0.9513888888888888,64,80,0.8686987104337632
xray-airspace,OVA,0.9,0.15625000000000006,0.23333333333333328,0.02836776220055731,0.07948267232100184,0.2841322377994428,0.38718399434566475,0.016632274263269995,0.0029536119528954974,0.9516129032258065,30,32,0.8522860492379836
xray-airspace,ASM,0.0,0.4017857142857142,0.3111111111111112,0.34406217766870784,0.24632430646983117,0.45950925090272055,0.3758979157523913,2.2417226737886113e-42,4.872734603134007e-21,0.8710433763188745,405,448,0.8710433763188745
xray-airspace,ASM,0.1,0.45137157107231923,0.3760683760683759,0.3903799501093408,0.30615171666639895,0.5123631920352977,0.44598503547035284,1.1294576606577547e-47,5.51499028902455e-26,0.8723404255319149,351,401,0.8792497069167644
xray-airspace,ASM,0.2,0.5068870523415978,0.45307443365695776,0.44365678372127393,0.3799337886748788,0.5701173209619217,0.5262150786390367,1.2496808217204102e-55,6.394231337631538e-34,0.8794642857142857,309,363,0.8921453692848769
xray-airspace,ASM,0.3,0.5942492012779553,0.57258064516129,0.5292179374104027,0.49392745925705445,0.659280465145508,0.6512338310655257,9.861464286812383e-72,3.455009911377112e-46,0.8912655971479501,248,313,0.8968347010550997
xray-airspace,ASM,0.4,0.6821705426356588,0.6617647058823528,0.6158267965731327,0.5802560474848726,0.7485142886981849,0.743273364279833,2.5296707178958663e-90,5.1610304870669e-57,0.9047619047619048,204,258,0.876905041031653
xray-airspace,ASM,0.5,0.7194570135746605,0.7439024390243902,0.6502347485812756,0.6615440007411361,0.7886792785680454,0.8262608773076444,3.0395262860776955e-92,3.9494325841097453e-70,0.9038961038961039,164,221,0.8417350527549824
xray-airspace,ASM,0.6,0.8095238095238096,0.7874015748031498,0.7434021475464951,0.7008220972580775,0.8756454715011242,0.873981052348222,3.081432294918474e-127,4.521336785018707e-71,0.9186440677966101,127,168,0.7889800703399765
xray-airspace,ASM,0.7,0.8527131782945735,0.8674698795180722,0.7807834672787499,0.7801581901835353,0.9246428893103971,0.9547815688526091,2.0170317602773918e-119,1.8649965393646593e-84,0.9575471698113207,83,129,0.7256740914419695
xray-airspace,ASM,0.8,0.8630136986301371,0.9285714285714286,0.7667552274359435,0.8499978044911789,0.9592721698243307,1.0071450526516783,4.020698619647048e-69,1.0861974982732689e-118,0.9739130434782609,42,73,0.6318874560375146
xray-airspace,ASM,0.9,0.8630136986301371,0.9285714285714286,0.7667552274359435,0.8499978044911789,0.9592721698243307,1.0071450526516783,4.020698619647048e-69,1.0861974982732689e-118,0.9739130434782609,42,73,0.6318874560375146
